Star Rating,Review Title,Review Description
5.0 out of 5 stars,Review after 2 years of hardcore usage.,"Been using it for 2 years. and for its price (1800 back then) its really good. now that after hardcore use of 2 years and dropping it down a billion times, its come in two piece, like semi, broken. but i can just put it back together. if you plan on using super hardcore everyday for 2 years then go for it. if you are more careful than i am with it then it'll last longer for sure. Nice volume and sound aswell. Apart form that i an now having some issues with compatibility. idk if its my phone or new software update. really durable and good, personally its great. (Note: I listen music/use for gaming/in calls. so i use it every single day for 6-8 hours at the very least)Read more"
5.0 out of 5 stars,Good product,Product is very good. Excellent battery life. Sound quality top notch ??Read more
5.0 out of 5 stars,Value for money product.,"Sleek design with a slim, premium-looking case.Build quality feels solid and durable.Sound is clear, balanced, and enjoyable.Battery life is long-lasting.Connectivity is smooth with fast pairing.Read more"
5.0 out of 5 stars,Great Budget Earbuds with Strong Battery & Bass ????,"The GOBOULT Y1 v2.0 earbuds are a great choice in the budget segment. The battery backup is excellent and easily lasts for days with normal use. Sound quality is bass-heavy, which is good for music and casual listening, though not the best for very clear vocals. Calling quality is decent with ENC, and low latency mode works well for gaming. Design is stylish and comfortable to wear. Overall, a value-for-money product if you want good features at a low price.Read more"
5.0 out of 5 stars,Amazing quality buds,"These earbuds in Blue Teal offers incredible value with deep 13mm bass and seamless Bluetooth 6.0 dual-device pairing.?The 60-hour battery life and Zen Quad Mic ENC make it perfect for long workdays, while the 45msRead more"
5.0 out of 5 stars,top class buds,"these wireless earbuds look very stylish and come in a nice, small case. They are very lightweight, so your ears won't feel tired after wearing them. The sound is loud and clear. the battery is amazing and lasts for a very long time on one charge. overall these are a great choice for anyone who wants good music and a long battery.Read more"
5.0 out of 5 stars,Nice ear buds,Goboult ear buds have very good sound quality. These fits in ear easily. These are stylish and have great power backup.Read more
5.0 out of 5 stars,Compact and Classy,"this colour looks very stylish and premium, very compact design easy to carry, sound quality is also very good in this affordable priceRead more"
5.0 out of 5 stars,Amazing sound quality,"Product quality is really very good. Audio clear aur loud hai, daily use ke liye perfect. Battery backup bhi kaafi acha hai, ek baar charge karne par long time tak chal jata hai. Build quality premium lagti hai.Value for money product hai, totally satisfied with the purchase. Definitely recommend karungaRead more"
5.0 out of 5 stars,Great Value for Money!,"""I recently purchased these GoBoult earbuds from Amazon, and I am extremely satisfied with them. The sound quality is crystal clear with a deep, punchy bass that makes listening to music a great experience. They are very comfortable to wear for long hours and fit perfectly in the ears. The charging case looks premium and the battery life is impressive. Overall, a fantastic product at this price point. Highly recommended!Read more"
5.0 out of 5 stars,Extraordinary product,"The Truke Crystal Dyno earbuds impress with their premium leather finish and powerful 13mm drivers delivering rich, immersive sound. Spatial audio enhances the listening experience, while 40ms low latency is great for gaming. With 70-hour battery life, fast charging, and clear calls via quad mics with ENC, they offer excellent value for everyday use and style.Read more"
5.0 out of 5 stars,Best quality earbuds ever used,"Earbuds in RavenBlack deliver impressive value with a premium leather-textured charging case that feels sophisticated and durable. The 13mm titanium drivers produce clear HiFi sound with punchy bass and making music and movies truly engaging. Best battery life and fast charging, they last through extended use. The 40ms ultra-low latency excels for gaming, while 4-mic ENC ensures crystal-clear calls even in noisy environments. Comfortable fit.Read more"
4.0 out of 5 stars,Affordable buy for listening music,"Very decent product considering the compact size,and leather finish is good! for affordable buy we can go for it. Sound clarity and noise cancellation is really good, mic quality range is okay but while speaking call clarity and connectivity the sound level is very feeble! If it’s only for listening music, go for it.Read more"
5.0 out of 5 stars,Earbuds with great sound quality,"Great Earphone with light weight And Comes with transparent case look's classy and stylish And Lights was too good in night , Crystal clear sound quality with Great Bass Experience,Also Game Mode Available And Battery backup is awsome Most Important Thing Comfatble in ear no pain Also Charging Cable in the box .Read more"
3.0 out of 5 stars,Good for its price point,"Earbuds is okay,the look of the case and the build quality of the case is decent but the earbuds build quality is not good,it's quite comfortable to wear it,the colour palette is very nice , it looks flashy, case and the earbuds look premium ,the connectivity and pairing of the buds is easy ,the sound quality overall is good,the touch control response is not good,the problem is that there is always a noise going through the earbuds every time you play something like a video or anything on it the noise will still keep on going even after you paused the video and it's really annoying cuz the noise is kinda loud which you can hear it clearly ,noise like this haven't occured to any of my past earbuds,but overall at this price point it's good but if you are a student thinking to purchase it, I wouldn't recommend going for this one. It's fine at this price point with the premium look and good sound qualityRead more"
5.0 out of 5 stars,Lovely product,Another banger from trukeThe look is besutiful very elegant very classy leather finishThe lights in the bud and the case looks very gaming typeSound is perfect bass and treble perfectly balancedEar fit greatBattery backup superb very easy to carryGreat for gamingOverall a must buyRead more
5.0 out of 5 stars,Good  product,"I’m really impressed with these wireless earbuds! The design looks super stylish, especially with the glowing LED lights that give it a premium feel. The charging case is compact and easy to carry, and the build quality feels solid.The sound quality is clear with good bass, making it perfect for music, videos, and calls. Pairing is quick and hassle-free, and the connection stays stable without interruptions. Battery backup is also decent—the earbuds last long enough for daily use, and the case charges them efficiently.Overall, this is a great value-for-money product with good performance and a cool look. Highly recommended for everyday use!Read more"
4.0 out of 5 stars,Nice earbuds,"The media could not be loaded.My experience with the Truke Crystal Dyno has been excellent. The sound is clear, the bass feels powerful, and the spatial audio makes movies and music more immersive. The battery life is truly amazing -I hardly need to recharge it.The leather-finish case feels premium, and the earbuds connect quickly every time. Low latency is great for gaming, and call quality is very clean because of the ENC mics.value for moneyRead more"
5.0 out of 5 stars,Good Performance,"The GOBOULT Astra Truly Wireless Earbuds offer exceptional value, delivering powerful performance highlighted by an amazing 48-hour total playtime and an effective 45ms low-latency Gaming Mode that makes a tangible difference in mobile gaming. The audio is driven by 13mm Bass Drivers tuned for a punchy, energetic sound favored by fans of heavy bass music, which can be fine-tuned using the Built-in App Support and its 6 Equalizer Modes. Despite the stylish White Opal design with cool Breathing LEDs, the only minor compromise is the call quality, which remains average in very loud outdoor environments; overall, the Astra is a feature-rich, ""Made in India"" product that excels in battery life and low-latency gaming. Good product must buy highly recommended. Good Performance and Amazing Quality.Read more"
5.0 out of 5 stars,Sound quality,It is a nice product satisfied with bass and sound qualityRead more
4.0 out of 5 stars,Value for money and nice design product,The product is good but while opening it is loose and it is having some sound issues and also it takes too much too chargeRead more
4.0 out of 5 stars,Sleek and Comfortable Design,"“Sleek, comfortable, and punchy—Boult Astra delivers impressive sound and reliable performance at a price that feels like a steal.”Read more"
5.0 out of 5 stars,Boult GOBOULT (Formerly Astra) Wireless Earbuds,"The GOBOULT Astra earbuds pack a surprising amount of features for the price, making them one of the better budget TWS options you’ll find right now. These earbuds offer:?? Excellent battery life — up to 48 hours of total playtime with the charging case, and fast Type-C charging giving you ~100 minutes of playback from just 10 minutes of top-up.GOBOULT?? Low latency mode — the 45 ms ultra-low latency gaming mode keeps audio and visuals nicely synchronized for mobile gaming and videos.Amazon India?? Sound quality & drivers — 13 mm BoomX™ drivers deliver strong bass and clear mids, suitable for music, video, and casual gaming.Amazon India?? Built-in app support — use the Boult Amp/GOBOULT Amp app to tweak EQ, touch controls, and personalize settings.Amazon India?? Call clarity & ENC — quad-mic Environmental Noise Cancellation helps reduce background noise during calls.GOBOULT? Design highlights — touch controls, Mode Sync LEDs for a cool aesthetic, and Bluetooth 5.3 for stable connectivity.Amazon India?? Water resistance — IPX5 rating makes them sweat/splash resistant — good for workoutRead more"
5.0 out of 5 stars,Quality review,Good sound quality comfortable to use with fast charging and long battery lifeRead more
5.0 out of 5 stars,Great product,Great sound qualityRead more
4.0 out of 5 stars,Include noise cancellation,"Good looking earbuds, sound quality,good experience, earbuds pain speedlyRead more"
5.0 out of 5 stars,AWSM product at cheap price.,"Battery capacity and sound quality and overall ,,, it's an awesome product at cheap price. It is light and easy to carry.Read more"
1.0 out of 5 stars,"Worst product, worst customer support","One of the worst product. Many warned that one side of the earbuds is not working after 2-3 days. I ignored those comments. As a price of that ignorance, I wasted my money buying this waste product. The worst part is both boat and amazon support service. Amazon just routed me to contact boat for support and boat just simply rejected my complaint without providing any reason. These guys are simply looting our money. I lost trust in boat brand and I will never ever buy any products from boat hereafter.Read more"
4.0 out of 5 stars,Overall good product,Good sound quality and value for money decent battery lifeRead more
5.0 out of 5 stars,Excellent purchase. High quality product at a low price.,It's a Boat earpod so I know it is durable. The sound quality is excellent. The overall high  quality of the product is as expected from boat. It is comfortable to use.Read more
3.0 out of 5 stars,Expectation vs. Reality,Sound Quality PoorRead more
1.0 out of 5 stars,Worst product,"Honestly only nice thing about the product is price, Apart from price the product is very bad. They are not working properly. On the delivered day itself opened and checked but one side of the earbud is not working. Amazon support for replacement is also very bad and worst. They won't replace the product and you'll lost your money.Read more"
5.0 out of 5 stars,Bettery life and sound awesome,"Very nice product, nice sound, bettery life is suprb and this divice is value for moneyRead more"
1.0 out of 5 stars,Ultimately worst no more words to say about this product,Received defective product Wasted rs 699 not even charging both ear dopes also not working even 1 star is also waste there is no zero star Amazon please don’t support or encourage this boat company its my hard earned money which I spent for this wate productRead more
5.0 out of 5 stars,Sarround Sound is the Best Experience,Very Nice product in budget price. Surround sound is great.Read more
4.0 out of 5 stars,THE earbuds is really good,I AM USING IT FOR 3  MONTHS BUT IT REALLY DOESN'T DISAPPOINT ME infact the product is quite handy and useful the sound quality is also good the battery is also better I think it can last to 5-6 hoursThe only problem I faced was I can't really control the voice that I speak to Google or ai and I think It is good in talking on callsRead more
5.0 out of 5 stars,Bluetooth,"Very good. Sound,  mic, battery are good. Product is so goodRead more"
4.0 out of 5 stars,High Volume,"Product is good, quality is also good at this price range overall it's good but the bass is too high something it hides the vocals and in full or more than half volume the sound comes outside such as the music is playing on mobile speaker in low volume. Don't use these in more than 60% volume otherwise it can lead to hearing in long time.Read more"
5.0 out of 5 stars,Must try earpods,Best product for music lovers. Sound is just wow. Worth for money. Noise cancellation is superb????. Totally liked the product. ??Read more
3.0 out of 5 stars,Design and built quality is best but the voice clarity and bass is not as much as good,I'm giving this as 3stars because1. the built quality is good2.design is very good3.battery life is also good4. Range of pods are best part5.connectivity is pretty fastThe reason for not giving remaining 2 stars js1. I didn't like the voice clarity of the pods (no clarity while listening songs )2.And the bass is not pretty good for the price range3.the length of pords are pretty bigThe major issue I have faced in this company is right side of pod is high in volume and left side pod volume is low ...while listening songs music is high and voice is low  ..for some songs voice is high music is low ..there is no stability hereI highly recommend take time and go for high priced pods for clarity and bass purposeRead more
5.0 out of 5 stars,Impressive performance on a budget.,"I’ve been using these earbuds for a while now, and I’m honestly impressed. The sound quality is clear with good bass, making music and calls really enjoyable. Battery life is solid and easily lasts through my daily use without frequent charging. For the price, they offer great performance and feel like a true value-for-money product. Definitely a good buy if you want reliable, good-sounding earbuds without spending too much.Read more"
4.0 out of 5 stars,Good product,Good sound qualityRead more
5.0 out of 5 stars,"AAn Audiophile’s Take: Surprisingly good, but don't expect 7Hz Zero 2 performance","The Reference Point (My Daily Driver):I want to be completely honest about my sound standards. My daily drivers are the 7Hz Salnotes Zero 2 wired IEMs. If you own those, you know exactly what ""top-notch"" clarity and ""pure bass"" feel like—where you can literally feel the sub-bass texture without any distortion.?The Comparison (Realme vs. IEMs):I bought the Realme Buds T200x to see how they stack up against a proper wired setup.?The Bass: The Realme T200x is good. For a wireless budget earbud, the bass is punchy and enjoyable. However, it is not on the same level as the 7Hz. It gets ""close"" to that signature sound, but it lacks that deep, ""pure bass"" feeling you get from the Zero 2s. It’s smooth, but not as immersive.?The Clarity: This is where the difference is most obvious. The 7Hz has crystal clear vocals. The Realme T200x vocal clarity is decent, but slightly recessed in comparison.?The Reality: A normal user won't notice these details and will love the sound. But if you are coming from IEMs, you will notice the difference.?Design & Comfort:As you can see in my photos, the matte finish and design are excellent. They definitely feel more premium than the price suggests, and the case is compact and pocketable.?Verdict:Don't buy these expecting them to replace your 7Hz Zero 2s—wired audio is still king. But if you want a wireless pair that gets surprisingly close to that sound signature without the wires, these are a solid backup.?Pros:?Premium matte design.?Good bass for a wireless TWS.?No distortion at normal volumes.?Cons:?Vocal clarity isn't as sharp as wired IEMs.?Bass is good, but lacks the ""pure"" texture of high-end gear.Read more"
4.0 out of 5 stars,Highly Satisfied – Authentic Product and Smooth Experience,"I recently purchased the realme Buds T200 Lite, and I am very satisfied with the overall experience. The product delivered was genuine, properly sealed, and backed by Amazon Fulfilled, which ensured fast and secure delivery.The sound quality is impressive for this price range, with clear vocals and balanced bass. The earbuds are lightweight, comfortable for long usage, and easy to pair with my device. Battery backup is also quite good for daily use.Overall, this is a great value-for-money product, and the Amazon Fulfilled service added extra reliability and peace of mind. Highly recommended for anyone looking for quality earbuds at an affordable price.Read more"
5.0 out of 5 stars,Great Product,"Very good sound quality, good mic ,and functional app.Read more"
5.0 out of 5 stars,super product,"I recently purchased the realme Buds T200 Lite from Amazon, and after using them for a week, I’m genuinely impressed. For anyone looking for reliable TWS earbuds under ?1,500, these are hard to beat.Gemini saidIf you are looking for a balanced, budget-friendly review to post on Amazon for your realme Buds T200 Lite, here is a structured draft you can use.I’ve broken it down by the key features you mentioned—the 4-mic system, AI ENC, and that massive 48-hour battery life.Headline: Excellent Value for Money – Battery King in the Budget Segment!Rating: ?????Review:I recently purchased the realme Buds T200 Lite from Amazon, and after using them for a week, I’m genuinely impressed. For anyone looking for reliable TWS earbuds under ?1,500, these are hard to beat.### 1. Sound Quality & BassThe 12.4mm Dynamic Bass Drivers really deliver. The sound is punchy and deep without being muddy. If you're a bass lover, you'll enjoy these. You can also customize the sound profiles using the realme Link App, which is a great touch for budget earbuds.### 2. Call Quality (4 Mics & AI ENC)The 4-mic system works surprisingly well. I’ve used these for office calls and while walking in light traffic. The AI ENC (Environmental Noise Cancellation) does a solid job of filtering out background hums and wind noise. My voice stayed clear on the other end, which is rare at this price point.### 3. Battery Life & ChargingThis is the standout feature. The 48 hours of total playback is no joke. I’ve only had to charge the case once in five days of heavy use. Plus, the fast charging (10 mins for ~5 hours of playback) is a lifesaver when you're in a rush.### 4. Build & ConnectivityDesign: The case is compact and the ""Volt Black"" (or Storm Grey) finish looks premium.Connectivity: It features Bluetooth 5.4 and Google Fast Pair, so it connects to my phone almost instantly when I open the case.Dual Device Pairing: This is a hidden gem—being able to stay connected to my laptop and phone simultaneously is very convenient.### Pros:Incredible 48-hour battery life.Strong, deep bass.Clear calls with the quad-mic setup.Dual-device connection support.IPX4 water resistance (good for workouts).### Cons:The case is a bit of a fingerprint magnet (glossy finish).No Active Noise Cancellation (ANC), but the AI ENC for calls makes up for it.Verdict:If you want a ""no-nonsense"" pair of earbuds with great battery life and clear calling, go for it. Definitely a 5-star product for the price!Read more"
4.0 out of 5 stars,Has good sound and bass,This is very good deal for the price. It has great bass and amazing sound quality with touch controls. The battery backup is also really great. The mic is useable and anc is fine. One bad thing is that the buds are little big and may feel little discomfort after wearing for a long time.Read more
5.0 out of 5 stars,Best Budget Earbuds with Premium Sound & Smooth Delivery Experience! ?????,"?????Absolutely loved the Realme Buds T200X! ?? The sound quality is crystal clear with deep bass ??, perfect for music and gaming. Battery backup is impressive ?? and lasts long without any issues. The design is sleek and comfortable for long use ??.Also, a big shoutout to the delivery partner ??—super fast delivery and very polite behavior ??. The product arrived safely and on time.Read more"
3.0 out of 5 stars,Talk to someone,"Sounds quality good but ,It is not a good time to talkRead more"
4.0 out of 5 stars,Fitting issue,The earbuds are really good. The sound and bass are next level and totally worth the money. But there is a small fitting issue—they don’t stay properly in the ears.Read more
5.0 out of 5 stars,REVIEWING AFTER 1.5 YEARS??,"I purchased it in 2024 and it's 2026, I'm writing my honest review!! it's really affordable and long lasting, it slipped through my hands so many times but never ever get damaged internally!! It's best for the middle class students, Mike quality is good!! It doesn't cancel noise but I think it's good for some personal reason. Connectivity is good,And specially The 'design' is really classic haha I love the design in this price range!! Overall I'm satisfied, it helped me a lottttt in my studies and entertainment??Read more"
1.0 out of 5 stars,SAVE YOUR MONEY AND SEARCH AND GO FOR ANOTHER PRODUCT,The sound is like the 150 rs earbuds from footpath and the configuration written in description not matching with the product waste of money and timeRead more
4.0 out of 5 stars,Overall 8/10,Bass is good that is enough and quality i think cheap but not too much feel design is good different from others but it's value for mony i buy only for 499 but over this price you have many better option but for 499 its worth !!Read more
5.0 out of 5 stars,Good product,Thank you amazon basice sound good super bassRead more
3.0 out of 5 stars,Good but stopped working after some months,"Stopped working, but for some monthsRead more"
5.0 out of 5 stars,Gooi,Good. Packing is very good. Delivery fast.Read more
1.0 out of 5 stars,Worst,The media could not be loaded.The worst product i recieved old boxAnd dust is over the boxIt's look like used or refurbished tws i recievedRead more
5.0 out of 5 stars,,Buds  ???? ?????? ???? ? ??? ?? ?? ????? ??? ?? ??? ?? ????Read more
5.0 out of 5 stars,Amazing sound and bass,These are the best buds in this budget looks premium and classy and very durable as well and I love this colour also.Sound quality is top notch and bass feel very thumping and have enc as well with quad Mic with works like a charm while making calls .Have Bluetooth 5.3 along with fast pair and have great battery life as well and it gave me 3 or 4 days battery easily and have insta charge feature.Very lite weight and felt very comfortable in ears worth every penny must buy product for noise.Read more
1.0 out of 5 stars,Ghattiya quality,"Worst product I have ever purchased. Within just 10 days, the earbuds completely stopped charging. This is unacceptable and clearly shows extremely poor quality.I tried everything—changing cables, adapters—but nothing worked. The product is completely useless now.This feels like a total waste of money. Very disappointed with this purchase. I strongly advise everyone NOT to buy this product. Save your money and avoid this headache.Read more"
5.0 out of 5 stars,Nice gadget,"Nice color, cool design and nice built quality, battery backup is long, almost 70 hour playtime. It also has Quad Mic with ENC that provides clear audio and sound quality so taking calls is a nice experience.Read more"
4.0 out of 5 stars,Amezing product,Amezing soundI like itTop bassRead more
1.0 out of 5 stars,last purchases.,Very bad product. It didn't work properly .They pack and sent a defective item. This is causing  inconvenience to the customer.  They refusing to replace my I item- even though I requested a replacement within just 3-4 hours of delivery.Read more
5.0 out of 5 stars,Feature-packed budget earbuds with massive battery and punchy bass,"The earbuds stands out as a budget-friendly pair of wireless earbuds offering impressive features. With up to 70 hours of total playtime and Instacharge support, it ensures long-lasting usage with quick top-ups. The 11mm drivers deliver deep bass, making music enjoyable for bass lovers, while the quad mic ENC provides clear call quality even in noisy environments. Bluetooth ensures stable connectivity and fast pairing. Although it lacks active noise cancellation, the overall performance, comfort, and value for money make it a solid choice for daily use.Read more"
3.0 out of 5 stars,Noise is good brand,"I ordered this product and tried it too, but the sound is not what it should be, it is very medium sound, if someone wants air buds in normal sound then this is a good product, the battery is good.Read more"
5.0 out of 5 stars,Nice quality,"Color is quite unique, design is sleek and battery backup is huge so it playtime is quite long. Audio and sound quality is very clear as it has Quad Mic with ENC for that. There are other features as well that enhances it's quality.Read more"
4.0 out of 5 stars,Nice product,"Everything is fine....Good fit in ear comfortableSound quality is very nice at this priceNice finishing , butI give 4 star only because of low battery backup and sound leakage..Read more"
4.0 out of 5 stars,Good Product,"Product quality is good, standard sound quality, Bass is also good. Reasonable price as per qualityRead more"
3.0 out of 5 stars,Feedback,"I purchased boAt earbuds, but unfortunately my experience has been very disappointing. Please find my feedback below:There is no proper indication to know whether the earbuds are fully charged or how much battery percentage is currently available. This makes charging very inconvenient.The total battery life is only around 12 hours. Even if I charge the earbuds in the morning at 8 AM, they completely stop working by around 7–8 PM.The touch sensitivity is very poor. Even a slight accidental touch pauses the music or video. Overall, the touch controls do not work properly.Most importantly, after using the earbuds for some time, the audio starts breaking continuously. Whether I am listening to music or watching videos, the sound keeps cutting off, which makes them very difficult to use.Overall, the product does not perform as expected and needs significant improvement in quality and performance.-VIJAY MISHRA, VADODARARead more"
4.0 out of 5 stars,Boat Airdopes 219,Nice product.Sone features are lacking but it's bass is good and Battery is holy ezz 8 hrs . Although it's Nice .Read more
3.0 out of 5 stars,Pros and Cons,"Not that good, I've used many boat products since last 9 years. And this is the first boat product that actually I didn't like. Because the connection gets week while driving a bike and if phone is around 10 steps away. This is the only issue I am facing right now. Used this one for more than 3 months I believe and still in great shape. And yes I noticed latency while playing bgmi aswell. Apart form the above sound quality and built quality is good and yes I dropped this like 3 to 4 times and I was I like its over but not, great built quality.Read more"
4.0 out of 5 stars,"Sounds are distorted some times, please solves this issues in future. Thanks you Boat","I bought Boat Airdopes 219, its good product but some problems face on this, sounds good no doubt but when play music, watch movies sounds are distorted, others no connecting problems, no other issues. Thank you BoatRead more"
3.0 out of 5 stars,About Bass and Comfortness,Bass thoda jyada hai aur ear main bhi uncomfort lagta hai. As compare to Boat 219 Boat 141 is comfortable.Look bohot premium hai.Read more
4.0 out of 5 stars,Bass????,Bass is good.good quality and good design.Read more
5.0 out of 5 stars,Worth the money,"Worth the moneyBeen using this earphone for a few days and I’m really happy with it. The sound is clear, the bass is smooth, and the mic works well for calls. The cable feels strong too. It gets a bit uncomfortable after long use, but overall it’s a great buy for the price.Read more"
3.0 out of 5 stars,My experience,"Likes:1. Minimalistic Design (nearly premium....at least)2. Good sound quality (in this price range...... however not comparable to my boat rokerz 518 headphones)3. Bud's build qualityDislikes:1. As everyone saying, 100% volume boost after every time you connect. And Magnetic pull is little bit weak (but it doesn't mean you lose your bud/s)My experience with Airpods Plus 3111. Voice calling issue (sometimes)2. Battery backup is really great(without case)3. Wearable time may vary person to person, by for me it was 4 hours.4. I don't think it is good to say that it has good noise cancellation system ??At last......I satisfied, worthy product for 900 INRNow, I'm writing this review after 17 days usage.:....Problems:1. Charging issue with buds ( Even after put them into case)2. While listening music buds are not in sync  (yes! Bro I have shut them down several times as instructed in manual, still syncing problem remains)3. Buds remain connected even after putting them in case.So , I'm lowering my ratting for this product to 3 stars.Read more"
4.0 out of 5 stars,Attractive and good quality,"Attractive box, confortable to wear, good sound experienceRead more"
5.0 out of 5 stars,It was beautiful,It has a beautiful design and has long battery LifeRead more
3.0 out of 5 stars,Not so good. Which i was expected SOUND NOT CLEAR.,Product is good. Working hours is good. Sound not good.But it not working when I received and open it. After charging it. Then it's working.But when i received it. It look like used product.Don't buy it. Go for others like noise and boultRead more
4.0 out of 5 stars,Works well. Worth for 800,Good productRead more
3.0 out of 5 stars,"Bad-ish Earphone, not worth your money!","The earphone's sound quality was just average; microphone was bad and just a bad earphone overall. Better buy the Bassheads Pro (wired) which is cheaper and offer superior music quality. Also, a problem that I faced was that whenever I connected the earphones to any device, the sound would immediately jump up to 100% and it would straight up blare in my ears. The call quality was just bad and so was the sound quality, not recommended unless if you want wireless capability at a cheaper price, also don't buy it if selling for prices higher then 500 INR.Read more"
4.0 out of 5 stars,It's quality and look,Nice product.. really happy with the order... Impressed by it's premium colourRead more
4.0 out of 5 stars,Nice product,"Everything is fine....Good fit in ear comfortableSound quality is very nice at this priceNice finishing , butI give 4 star only because of low battery backup and sound leakage..Read more"
4.0 out of 5 stars,Good Product,"Product quality is good, standard sound quality, Bass is also good. Reasonable price as per qualityRead more"
3.0 out of 5 stars,Feedback,"I purchased boAt earbuds, but unfortunately my experience has been very disappointing. Please find my feedback below:There is no proper indication to know whether the earbuds are fully charged or how much battery percentage is currently available. This makes charging very inconvenient.The total battery life is only around 12 hours. Even if I charge the earbuds in the morning at 8 AM, they completely stop working by around 7–8 PM.The touch sensitivity is very poor. Even a slight accidental touch pauses the music or video. Overall, the touch controls do not work properly.Most importantly, after using the earbuds for some time, the audio starts breaking continuously. Whether I am listening to music or watching videos, the sound keeps cutting off, which makes them very difficult to use.Overall, the product does not perform as expected and needs significant improvement in quality and performance.-VIJAY MISHRA, VADODARARead more"
4.0 out of 5 stars,Boat Airdopes 219,Nice product.Sone features are lacking but it's bass is good and Battery is holy ezz 8 hrs . Although it's Nice .Read more
3.0 out of 5 stars,Pros and Cons,"Not that good, I've used many boat products since last 9 years. And this is the first boat product that actually I didn't like. Because the connection gets week while driving a bike and if phone is around 10 steps away. This is the only issue I am facing right now. Used this one for more than 3 months I believe and still in great shape. And yes I noticed latency while playing bgmi aswell. Apart form the above sound quality and built quality is good and yes I dropped this like 3 to 4 times and I was I like its over but not, great built quality.Read more"
4.0 out of 5 stars,"Sounds are distorted some times, please solves this issues in future. Thanks you Boat","I bought Boat Airdopes 219, its good product but some problems face on this, sounds good no doubt but when play music, watch movies sounds are distorted, others no connecting problems, no other issues. Thank you BoatRead more"
3.0 out of 5 stars,About Bass and Comfortness,Bass thoda jyada hai aur ear main bhi uncomfort lagta hai. As compare to Boat 219 Boat 141 is comfortable.Look bohot premium hai.Read more
4.0 out of 5 stars,Bass????,Bass is good.good quality and good design.Read more
5.0 out of 5 stars,Excellent product,"I don't usually write reviews, but this product has forced me to.... I bought this in August,2023 for around Rs. 2300... I don't usually spend more than 1k on earbuds... But I was looking for good battery backup at that time and came accross this Boat Nirvana Ion... seriously, this is my best buy till date in earbuds... I use it daily and using it till now, almost 3yrs... Battery backup is still excellent and sound is also good.Read more"
4.0 out of 5 stars,"Compact would be better, but sound is good..","These earbuds are great overall, but the size of the buds is a bit large for my liking. If they were smaller, they'd be way more comfortable. Sound quality's good though, and battery life's solid. ??""Read more"
5.0 out of 5 stars,Bought it for its battery back-up but got more,"Let me start with the elephant in the room claim - 24 hours battery back up from buds alone. I received this TWS around 6:45 in the evening, took about a couple  minutes to check the box contents and make sure the TWS was in perfect condition. Paired them with my phone only to find out the earbuds had 100% charge, so I started using them. I initiated my ""testing"" at 7 p.m. with The Jurassic Park (1993) at about 80% volume. 2 hours later, the buds had ~93% charge left. I said, ""Challenge accepted!"", and then watched the sequel, The Lost World (1997). Another 2 hours and some odd minutes later, the time was 11:10 p.m., the left bud showed 86% battery and the right was at 85%. At this point, I could see myself losing the battle, but I didn't wanna give up. I thought to myself, ""Maybe if I tried harder, I'd win."" But time, as always, wasn't on my side. It was 11:20 p.m., the silence of the night could be heard loudly and the fatigue of the day was catching up to me, when suddenly, an idea popped into my head. I rushed over to YouTube, searched for a 10 hour heavy metal music video, hit the play button, increased the earbuds volume to 100%, and then put both my phone and the buds on the bedside table grinning to myself thinking, ""Yeah, survive that."", and called it a night. The morning came and as my vision cleared up to show 7:20 a.m. on the clock, I reached out to my phone, assuredly and confidently convinced, I had won the war.I didn't. The right bud was at 41% and the left at 45%. At this juncture, I gladly accepted my defeat and decided to write this story, a story of a brave TWS, a story that will never be in any history books, a story where the eternal TWS won against its sadistic owner.As for the rest, I will keep it brief;In-ear Detection: Works very well, no complaints.Sound Quality: Signature mode is too bass-y, not for me, for sure. Balance mode does the job and it does it well.Call quality: THE BEST. Tested against Boat Rockers 255 Neo, Boult Audio X50, Dizo GoPods Neo, Realme T100.Build Quality: Buds good. Case lid, when closed, has a slight wobble to it. Everything else is upto the mark.One final remark would be in-ear fitting, and thus, noise isolation. I find these buds to provide noise isolation as good as Dizo Gopods Neo with its 25Db ANC mode on. It almost feels like they were custom made for my ears. But do keep in mind that this can and will differ from person to person.Thank you for your time and I hope I didn't waste it.Read more"
